overall,asin,reviewerID,cluster,brand,highlight,asin2,reviewerID2,main_suggestions,second_suggestions
3.0,0001050230,A2YXRT2XIJIO57,1,Visit Amazon's William Shakespeare Page,0,3,3,"{'0001050230', '0004244079', '0028180054', 'B003156C4E', '0062498533', '0061351415', 'B001C4VLZQ', '0001048767', 'B001MQA3DU', '8184776217'}","{'0001050230', '0004244079', '0028180054', 'B003156C4E', '0062498533', '0061351415', 'B001C4VLZQ', '0001048767', 'B001MQA3DU', '8184776217'}"
3.0,0001050230,A5S98AEI9WI7Y,1,Visit Amazon's William Shakespeare Page,0,3,5,"{'0001050230', '0004244079', '0028180054', 'B003156C4E', '0062498533', '0061351415', 'B001C4VLZQ', '0001048767', 'B001MQA3DU', '8184776217'}","{'0001050230', '0004244079', '0028180054', 'B003156C4E', '0062498533', '0061351415', 'B001C4VLZQ', '0001048767', 'B001MQA3DU', '8184776217'}"
4.0,0002247399,A1D5RCOILPC9LX,1,Visit Amazon's George R.R. Martin Page,0,4,6,"{'0060391448', '0007310250', '0316176494', '0399179135', '0316011770', '0002247399', '0743566572', '1477818243', '0151008116', '045146527X'}","{'0060391448', '0007310250', '0316176494', '0399179135', '0316011770', '0002247399', '0743566572', '1477818243', '0151008116', '045146527X'}"
3.0,0004244079,A5S98AEI9WI7Y,1,Louisa May Alcott,0,5,5,"{'0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', 'B003156C4E', '0140431179', '0007350961', '0142406635'}","{'0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', 'B003156C4E', '0140431179', '0007350961', '0142406635'}"
3.0,0004244079,A7XA3FEADAM6G,1,Louisa May Alcott,0,5,7,"{'0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', 'B003156C4E', '0140431179', '0007350961', '0142406635'}","{'0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', 'B003156C4E', '0140431179', '0007350961', '0142406635'}"
3.0,0004244079,ABMX8XUNPR3LP,1,Louisa May Alcott,0,5,8,"{'0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', 'B003156C4E', '0140431179', '0007350961', '0142406635'}","{'0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', 'B003156C4E', '0140431179', '0007350961', '0142406635'}"
5.0,0004244079,A1D2C0WDCSHUWZ,2,Louisa May Alcott,0,5,1,"{'0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', 'B003156C4E', '0140431179', '0007350961', '0142406635'}","{'0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', 'B003156C4E', '0140431179', '0007350961', '0142406635'}"
5.0,0004244079,A1D2C0WDCSHUWZ,2,Louisa May Alcott,0,5,1,"{'0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', 'B003156C4E', '0140431179', '0007350961', '0142406635'}","{'0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', 'B003156C4E', '0140431179', '0007350961', '0142406635'}"
5.0,0003302245,A1D2C0WDCSHUWZ,2,Jan Needle,0,6,1,"{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '1607105551', '0140431179', '0007350961', '0142406635'}","{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '1607105551', '0140431179', '0007350961', '0142406635'}"
5.0,0003302245,A1D2C0WDCSHUWZ,2,Jan Needle,0,6,1,"{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '1607105551', '0140431179', '0007350961', '0142406635'}","{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '1607105551', '0140431179', '0007350961', '0142406635'}"
3.0,0006545793,A1MFPR1ILOQPJY,1,Visit Amazon's Aldous Huxley Page,0,7,9,"{'0061147931', '1410440478', 'B001J8W92O', '0006545793', '0140437681', '0060558121', '2253195103', 'B0076JPX46', '6077547328', 'B001I1CHNS'}","{'0061147931', '1410440478', 'B001J8W92O', '0006545793', '0140437681', '0060558121', '2253195103', 'B0076JPX46', '6077547328', 'B001I1CHNS'}"
4.0,000711835X,A1MFPR1ILOQPJY,1,Visit Amazon's J. R. R. Tolkien Page,0,8,9,"{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}","{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}"
5.0,000711835X,A1D2C0WDCSHUWZ,2,Visit Amazon's J. R. R. Tolkien Page,0,8,1,"{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}","{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}"
5.0,000711835X,AXVXIWJ6IU6KA,2,Visit Amazon's J. R. R. Tolkien Page,0,8,10,"{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}","{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}"
5.0,000711835X,A1D2C0WDCSHUWZ,2,Visit Amazon's J. R. R. Tolkien Page,0,8,1,"{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}","{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}"
5.0,000711835X,A1D2C0WDCSHUWZ,2,Visit Amazon's J. R. R. Tolkien Page,0,8,1,"{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}","{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}"
5.0,000711835X,A1D2C0WDCSHUWZ,2,Visit Amazon's J. R. R. Tolkien Page,0,8,1,"{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}","{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}"
5.0,000711835X,A1D2C0WDCSHUWZ,2,Visit Amazon's J. R. R. Tolkien Page,0,8,1,"{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}","{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}"
5.0,000711835X,A2NJO6YE954DBH,2,Visit Amazon's J. R. R. Tolkien Page,0,8,11,"{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}","{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}"
5.0,000711835X,A1D2C0WDCSHUWZ,2,Visit Amazon's J. R. R. Tolkien Page,0,8,1,"{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}","{'0003302245', 'B000FK9M18', '0007284241', '0007350899', 'B003156C4E', '1477809732', '0140434917', '0140008330', '0140861750', '000711835X'}"
1.0,0007117213,A1TUBKEWD01LLS,0,Visit Amazon's Frank McCourt Page,0,9,12,"{'0001844423', '0142800376', '0439139600', '0310205719', '0373210868', '0007117213', '0425057739', '0151015392', '0307346609', 'B00A9WRH3M'}","{'0001844423', '0142800376', '0439139600', '0310205719', '0373210868', '0007117213', '0425057739', '0151015392', '0307346609', 'B00A9WRH3M'}"
5.0,0007117213,A96K1ZGW56S2I,2,Visit Amazon's Frank McCourt Page,0,9,2,"{'0001844423', '0142800376', '0439139600', '0310205719', '0373210868', '0007117213', '0425057739', '0151015392', '0307346609', 'B00A9WRH3M'}","{'0001844423', '0142800376', '0439139600', '0310205719', '0373210868', '0007117213', '0425057739', '0151015392', '0307346609', 'B00A9WRH3M'}"
5.0,0007155662,AHHU34NT0HTR1,2,Visit Amazon's Paulo Coelho Page,0,10,13,"{'0393072231', 'B000FK9M18', 'B00V177HXY', '2253195103', '1514664003', '0060584750', '1408842432', '1530173922', '0307987647', '0007155662'}","{'0393072231', 'B000FK9M18', 'B00V177HXY', '2253195103', '1514664003', '0060584750', '1408842432', '1530173922', '0307987647', '0007155662'}"
5.0,0007172826,A3KEZLJ59C1JVH,2,Tracy Chevlier,0,11,14,"{'0312356854', '0099771519', '0316081051', '0307939693', '0007172826', '1514664003', 'B002DY9LZQ', '0545582881', '0340835451', '0439249546'}","{'0312356854', '0099771519', '0316081051', '0307939693', '0007172826', '1514664003', 'B002DY9LZQ', '0545582881', '0340835451', '0439249546'}"
4.0,0007166311,A33EVEMS61JYRQ,1,Visit Amazon's Michael Cunningham Page,0,12,15,"{'031286504X', '0007166311', '0007420412', '0316081051', '0307277038', '0099521296', '0091944244', '1530173922', '0143142372', '0312360800'}","{'031286504X', '0007166311', '0007420412', '0316081051', '0307277038', '0099521296', '0091944244', '1530173922', '0143142372', '0312360800'}"
4.0,0007141424,A3SJW5TGW16UDT,1,Visit Amazon's Lois Lowry Page,0,13,16,"{'1542852129', '1947189077', '1943443149', '1940071143', '151736180X', '0349413401', '1532712561', '1940673763', '1501155210', '0007141424'}","{'1542852129', '1947189077', '1943443149', '1940071143', '151736180X', '0349413401', '1532712561', '1940673763', '1501155210', '0007141424'}"
5.0,0007284241,A1D2C0WDCSHUWZ,2,Visit Amazon's J. R. R. Tolkien Page,0,14,1,"{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '1607105551', '0140431179', '0007350961', '0142406635'}","{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '1477809732', '1607105551', '0140431179', '0007350961', '0142406635'}"
5.0,0007271239,A1TYDLL929RD0N,2,Visit Amazon's Garth Stein Page,0,15,17,"{'0316081051', '0373210868', '0062085506', '1530173922', '1455548987', '0099554798', '0764207083', '0545424925', '015206396X', '0007271239'}","{'0316081051', '0373210868', '0062085506', '1530173922', '1455548987', '0099554798', '0764207083', '0545424925', '015206396X', '0007271239'}"
5.0,0007310250,A1D5RCOILPC9LX,2,Visit Amazon's Guillermo del Toro Page,0,16,6,"{'0007310250', '0713998636', '0316176494', '0399179135', '0316011770', '0002247399', '0316071048', '1477818243', '0151008116', '0062049801'}","{'0007310250', '0713998636', '0316176494', '0399179135', '0316011770', '0002247399', '0316071048', '1477818243', '0151008116', '0062049801'}"
4.0,0007310250,AYT4FJYVCHYLE,1,Visit Amazon's Guillermo del Toro Page,0,16,18,"{'0007310250', '0713998636', '0316176494', '0399179135', '0316011770', '0002247399', '0316071048', '1477818243', '0151008116', '0062049801'}","{'0007310250', '0713998636', '0316176494', '0399179135', '0316011770', '0002247399', '0316071048', '1477818243', '0151008116', '0062049801'}"
5.0,0007350783,A2TXR85WQLE32N,2,Visit Amazon's Jane Austen Page,0,17,19,"{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}","{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}"
5.0,0007350783,A1D2C0WDCSHUWZ,2,Visit Amazon's Jane Austen Page,0,17,1,"{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}","{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}"
4.0,0007350783,A1D2C0WDCSHUWZ,1,Visit Amazon's Jane Austen Page,0,17,1,"{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}","{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}"
4.0,0007350783,A1D2C0WDCSHUWZ,1,Visit Amazon's Jane Austen Page,0,17,1,"{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}","{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}"
5.0,0007350783,A1D2C0WDCSHUWZ,2,Visit Amazon's Jane Austen Page,0,17,1,"{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}","{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}"
5.0,0007350783,A1D2C0WDCSHUWZ,2,Visit Amazon's Jane Austen Page,0,17,1,"{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}","{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}"
4.0,0007350783,A1D2C0WDCSHUWZ,1,Visit Amazon's Jane Austen Page,0,17,1,"{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}","{'0140324623', '0003302245', '0545123267', '0007284241', '1477809732', '037543190X', '0140431179', '0007350783', '0553212737', '0142406635'}"
4.0,0007386982,A10LKYQ1D8LPK8,1,Visit Amazon's Lauren DeStefano Page,0,18,20,"{'0060391448', '0451216954', '0061985848', '0007386982', '0316273252', '0316081051', '000746522X', '0062224743', '0802727980', '0007449313'}","{'0060391448', '0451216954', '0061985848', '0007386982', '0316273252', '0316081051', '000746522X', '0062224743', '0802727980', '0007449313'}"
5.0,0007386982,A22B13EJTZKCTM,2,Visit Amazon's Lauren DeStefano Page,0,18,21,"{'0060391448', '0451216954', '0061985848', '0007386982', '0316273252', '0316081051', '000746522X', '0062224743', '0802727980', '0007449313'}","{'0060391448', '0451216954', '0061985848', '0007386982', '0316273252', '0316081051', '000746522X', '0062224743', '0802727980', '0007449313'}"
5.0,0007350961,A1D2C0WDCSHUWZ,2,Mary Shelley,0,19,1,"{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', '0140431179', '0007350961', '0142406635'}","{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', '0140431179', '0007350961', '0142406635'}"
5.0,0007350961,A1D2C0WDCSHUWZ,2,Mary Shelley,0,19,1,"{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', '0140431179', '0007350961', '0142406635'}","{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', '0140431179', '0007350961', '0142406635'}"
2.0,0007350961,ABMX8XUNPR3LP,0,Mary Shelley,0,19,8,"{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', '0140431179', '0007350961', '0142406635'}","{'0001844423', '0003302245', '045141411X', '0545123267', '0007284241', '0004244079', '1477809732', '0140431179', '0007350961', '0142406635'}"
5.0,0007350899,AXVXIWJ6IU6KA,2,Visit Amazon's Charles Dickens Page,0,20,10,"{'0307341577', '0849946158', '000711835X', 'B000FK9M18', '0060391448', '0007350899', 'B003156C4E', '0140008330', '0140861750', 'B00EJQY4BM'}","{'0307341577', '0849946158', '000711835X', 'B000FK9M18', '0060391448', '0007350899', 'B003156C4E', '0140008330', '0140861750', 'B00EJQY4BM'}"
4.0,0007368658,A20VXF9DYI0I6H,1,Visit Amazon's F. Scott Fitzgerald Page,0,21,22,"{'0099771519', '0316081051', '006056492X', '0307265439', '0007368658', '0297851527', '1530173922', '7208061645', '0312938640', '1986566854'}","{'0099771519', '0316081051', '006056492X', '0307265439', '0007368658', '0297851527', '1530173922', '7208061645', '0312938640', '1986566854'}"
5.0,000735083X,A1MC6BFHWY6WC3,2,Visit Amazon's Arthur Conan Doyle Page,0,22,23,"{'0003302245', '0545123267', '0007284241', '0307476073', '0142406635', '1477809732', '000735083X', '0020519605', '0312185863', '0349403678'}","{'0003302245', '0545123267', '0007284241', '0307476073', '0142406635', '1477809732', '000735083X', '0020519605', '0312185863', '0349403678'}"
5.0,000735083X,A1D2C0WDCSHUWZ,2,Visit Amazon's Arthur Conan Doyle Page,0,22,1,"{'0003302245', '0545123267', '0007284241', '0307476073', '0142406635', '1477809732', '000735083X', '0020519605', '0312185863', '0349403678'}","{'0003302245', '0545123267', '0007284241', '0307476073', '0142406635', '1477809732', '000735083X', '0020519605', '0312185863', '0349403678'}"
1.0,0007444117,A3CYA250L0DABZ,0,Visit Amazon's Veronica Roth Page,0,23,24,"{'1985636689', '0615826814', '0007444117', '1471133567', '1942299761', '1501110349', '1442485256', '0062267744', '1501125710', '0062294776'}","{'1985636689', '0615826814', '0007444117', '1471133567', '1942299761', '1501110349', '1442485256', '0062267744', '1501125710', '0062294776'}"
4.0,0007420412,A33EVEMS61JYRQ,1,Visit Amazon's Veronica Roth Page,0,24,15,"{'031286504X', '0007166311', '0007420412', '1406330345', '0373778198', '0374384673', '0091944244', '0143142372', '0141350180', '0312569041'}","{'031286504X', '0007166311', '0007420412', '1406330345', '0373778198', '0374384673', '0091944244', '0143142372', '0141350180', '0312569041'}"
4.0,0007466692,ACY20CMVD4A86,1,Visit Amazon's Kiera Cass Page,0,25,25,"{'1476756546', '1250002990', '1534887202', '0230750214', '1480207217', '1476776040', '0007466692', '1544104340', '1545373949', '0988742942'}","{'1476756546', '1250002990', '1534887202', '0230750214', '1480207217', '1476776040', '0007466692', '1544104340', '1545373949', '0988742942'}"
2.0,0007466692,A2WW57XX2UVLM6,0,Visit Amazon's Kiera Cass Page,0,25,26,"{'1476756546', '1250002990', '1534887202', '0230750214', '1480207217', '1476776040', '0007466692', '1544104340', '1545373949', '0988742942'}","{'1476756546', '1250002990', '1534887202', '0230750214', '1480207217', '1476776040', '0007466692', '1544104340', '1545373949', '0988742942'}"
5.0,0007466692,A3GJ2T8GRJTE7D,2,Visit Amazon's Kiera Cass Page,0,25,27,"{'1476756546', '1250002990', '1534887202', '0230750214', '1480207217', '1476776040', '0007466692', '1544104340', '1545373949', '0988742942'}","{'1476756546', '1250002990', '1534887202', '0230750214', '1480207217', '1476776040', '0007466692', '1544104340', '1545373949', '0988742942'}"
4.0,0007449313,A22B13EJTZKCTM,1,Jane Austen,0,26,21,"{'0451216954', '0007386982', '0316273252', '000746522X', '0062224743', '0802727980', '0312551517', 'B000K5THYU', '0007449313', '0441018521'}","{'0451216954', '0007386982', '0316273252', '000746522X', '0062224743', '0802727980', '0312551517', 'B000K5THYU', '0007449313', '0441018521'}"
3.0,0007466692,A3G5YFK37GKUK2,1,Visit Amazon's Kiera Cass Page,0,25,28,"{'1476756546', '1250002990', '1534887202', '0230750214', '1480207217', '1476776040', '0007466692', '1544104340', '1545373949', '0988742942'}","{'1476756546', '1250002990', '1534887202', '0230750214', '1480207217', '1476776040', '0007466692', '1544104340', '1545373949', '0988742942'}"
5.0,0007444117,A18UP4NRSNAIUM,2,Visit Amazon's Veronica Roth Page,0,23,29,"{'1985636689', '0615826814', '0007444117', '1471133567', '1942299761', '1501110349', '1442485256', '0062267744', '1501125710', '0062294776'}","{'1985636689', '0615826814', '0007444117', '1471133567', '1942299761', '1501110349', '1442485256', '0062267744', '1501125710', '0062294776'}"
5.0,0007420412,A16U814S3DGASV,2,Visit Amazon's Veronica Roth Page,0,24,30,"{'031286504X', '0007166311', '0007420412', '1406330345', '0373778198', '0374384673', '0091944244', '0143142372', '0141350180', '0312569041'}","{'031286504X', '0007166311', '0007420412', '1406330345', '0373778198', '0374384673', '0091944244', '0143142372', '0141350180', '0312569041'}"
4.0,0007444117,A958LJ1BUJLG5,1,Visit Amazon's Veronica Roth Page,0,23,31,"{'1985636689', '0615826814', '0007444117', '1471133567', '1942299761', '1501110349', '1442485256', '0062267744', '1501125710', '0062294776'}","{'1985636689', '0615826814', '0007444117', '1471133567', '1942299761', '1501110349', '1442485256', '0062267744', '1501125710', '0062294776'}"
4.0,0007420412,A1JOPXFBICWJBD,1,Visit Amazon's Veronica Roth Page,0,24,32,"{'031286504X', '0007166311', '0007420412', '1406330345', '0373778198', '0374384673', '0091944244', '0143142372', '0141350180', '0312569041'}","{'031286504X', '0007166311', '0007420412', '1406330345', '0373778198', '0374384673', '0091944244', '0143142372', '0141350180', '0312569041'}"
3.0,0007518021,A2F6N60Z96CAJI,1,Visit Amazon's Dean Koontz Page,0,27,33,"{'1476702926', '0307749606', '0007925565', '141047383X', '0385346859', '0099595036', '0007518021', '0099457164', '030799063X', '0345504992'}","{'1476702926', '0307749606', '0007925565', '141047383X', '0385346859', '0099595036', '0007518021', '0099457164', '030799063X', '0345504992'}"
2.0,000746522X,A10LKYQ1D8LPK8,0,Visit Amazon's Dan' 'Wells Page,0,28,20,"{'0451216954', '0007386982', '0316273252', '000746522X', '0062224743', '0802727980', '0312551517', 'B000K5THYU', '0007449313', '0441018521'}","{'0451216954', '0007386982', '0316273252', '000746522X', '0062224743', '0802727980', '0312551517', 'B000K5THYU', '0007449313', '0441018521'}"
4.0,000746522X,A22B13EJTZKCTM,1,Visit Amazon's Dan' 'Wells Page,0,28,21,"{'0451216954', '0007386982', '0316273252', '000746522X', '0062224743', '0802727980', '0312551517', 'B000K5THYU', '0007449313', '0441018521'}","{'0451216954', '0007386982', '0316273252', '000746522X', '0062224743', '0802727980', '0312551517', 'B000K5THYU', '0007449313', '0441018521'}"
3.0,0007925565,A1Z1F8JP032EV2,1,Visit Amazon's Herman Melville Page,0,29,34,"{'1476702926', '0307749606', '0007925565', '141047383X', '0385346859', '0099595036', '0007518021', '0099457164', '030799063X', '0345504992'}","{'1476702926', '0307749606', '0007925565', '141047383X', '0385346859', '0099595036', '0007518021', '0099457164', '030799063X', '0345504992'}"
5.0,0007925565,A2F6N60Z96CAJI,2,Visit Amazon's Herman Melville Page,0,29,33,"{'1476702926', '0307749606', '0007925565', '141047383X', '0385346859', '0099595036', '0007518021', '0099457164', '030799063X', '0345504992'}","{'1476702926', '0307749606', '0007925565', '141047383X', '0385346859', '0099595036', '0007518021', '0099457164', '030799063X', '0345504992'}"
5.0,0007410956,A2H44WVZS59KKT,2,Visit Amazon's Mitchell Zuckoff Page,0,30,35,"{'0007410956', '098924475X', '1570429715', '1469216051', '0316245283', '0439692687', '1400069904', '0312306261', 'B000C4SQ46', '0230749259'}","{'0007410956', '098924475X', '1570429715', '1469216051', '0316245283', '0439692687', '1400069904', '0312306261', 'B000C4SQ46', '0230749259'}"
5.0,0007410956,A1K1JW1C5CUSUZ,2,Visit Amazon's Mitchell Zuckoff Page,0,30,36,"{'0007410956', '098924475X', '1570429715', '1469216051', '0316245283', '0439692687', '1400069904', '0312306261', 'B000C4SQ46', '0230749259'}","{'0007410956', '098924475X', '1570429715', '1469216051', '0316245283', '0439692687', '1400069904', '0312306261', 'B000C4SQ46', '0230749259'}"
3.0,0008124868,A1XGJ7TLP5Y3XC,1,Visit Amazon's Len Deighton Page,0,31,37,"{'1455536342', '0060391448', 'B000X1MX7E', '2253195103', '0307408868', '0399162380', '0008124868', '0316153982', '0340770708', '0385537859'}","{'1455536342', '0060391448', 'B000X1MX7E', '2253195103', '0307408868', '0399162380', '0008124868', '0316153982', '0340770708', '0385537859'}"
5.0,0008117497,A1MC6BFHWY6WC3,2,Visit Amazon's Isaac Asimov Page,0,32,23,"{'1570429715', '0307476073', '0008117497', '0062225448', '0008123209', '0020519605', '0312306261', '0345532015', '0307735036', '0312185863'}","{'1570429715', '0307476073', '0008117497', '0062225448', '0008123209', '0020519605', '0312306261', '0345532015', '0307735036', '0312185863'}"
